artist,title,track_no,track_no_source,unknown,from_cd_artist,from_cd_title,mix_id,mix_name
Cantoma,"Call, the (& pathaan)",60015009,T01: 09,0.0,Zen connection 3,V,ZZZ0150,Drm 035 Superchilled 05
Solid sessions,Janeiro,60015012,T03: 05,0.0,Gatecrasher digital,V,ZZZ0150,Drm 035 Superchilled 05
Ryukyu underground,Kanasando,60015013,T02: 05,0.0,Zen connection 3,V,ZZZ0150,Drm 035 Superchilled 05
Way out west,Intensify,60015014,T03: 07,0.0,Gatecrasher digital,V,ZZZ0150,Drm 035 Superchilled 05
D genre,Drum al amour,60015101,T10,0.0,Rasamello 2,V,ZZZ0151,Drm 036 Superchilled 06
Amber,Sexual (afterlife mix),60015102,T03,0.0,Rasamello 2,V,ZZZ0151,Drm 036 Superchilled 06
"Thorton, phil",Resolution,60015103,T01: 06,0.0,Zen connection 2,V,ZZZ0151,Drm 036 Superchilled 06
Lotus,Air & angels,60015104,T13,0.0,Rasamello 1,V,ZZZ0151,Drm 036 Superchilled 06
"Yokota, susumu",Flying cat,60015105,T12,0.0,"Yokota, susumu",Grinning cat,ZZZ0151,Drm 036 Superchilled 06
"Chopra, deepak",Oceans of ecstasy,60015106,T02,0.0,Rasamello 2,V,ZZZ0151,Drm 036 Superchilled 06
"Return, the",New day,60015107,T01: 03,0.0,"Global underground 017, london danny tenaglia",V,ZZZ0151,Drm 036 Superchilled 06
Get fucked,Dreams are made,60015108,T01,0.0,Get fucked,Wet dreams,ZZZ0151,Drm 036 Superchilled 06
"Namtchylak, sainkho",Ohm suaa,60015109,T02: 02,0.0,Buddha bar 7,V,ZZZ0151,Drm 036 Superchilled 06
Banzai republic,Loolah (& natacha atlas),60015110,T01: 06,0.0,Zen connection 4,V,ZZZ0151,Drm 036 Superchilled 06
Sufani,Gaudi,60015111,T01: 12,0.0,"Buddha bar 2, spirit of, siddharta",V,ZZZ0151,Drm 036 Superchilled 06
"Sanchez, roger",Another chance,60015112,T01: 06,0.0,"MOS chillout sessions 3, the",V,ZZZ0151,Drm 036 Superchilled 06
Orbient,Boarding,60015113,T14,0.0,Hotel costes 4,V,ZZZ0151,Drm 036 Superchilled 06
Yonder boi,Fairy of the lake,60015114,T01: 07,0.0,"Big chill loves you, the",V,ZZZ0151,Drm 036 Superchilled 06
Supervielle,Perfume,60015116,T02: 06,0.0,Buddha bar 7,V,ZZZ0151,Drm 036 Superchilled 06
"Miles, robert",Path,60015201,T01: 11,0.0,"Big chill loves you, the",V,ZZZ0152,Drm 037 Superchilled 07
Omnimotion,Japan,60015202,T01: 07,0.0,Zen connection 4,V,ZZZ0152,Drm 037 Superchilled 07
Grassskirt,Tonite,60015203,T02: 02,0.0,"Buddha bar 2, spirit of, siddharta",V,ZZZ0152,Drm 037 Superchilled 07
