Artist,Title,Track no. on CDR,Track no. on source CD,,From CD artist,From CD title ( V = Various Artists)
Satori,Satori,60001815,T02: 10,1,"Faith 1, house classics past & present, terry farley & bill brewster",V
Zzzz_00019,,60001900,20050904,0,,Z 0019 Car CD 14
Bt,Shame,60001901,T02: 01,1,"Global underground 021, deep dish, moscow",V
Basement jaxx,Do your thing,60001902,T01: 06,0,"MOS annual 2003, the",V
Raven maize,Fascinated,60001903,T01: 05,1,"MOS annual 2003, the",V
She rockers,On shane (& vs utah saints),60001904,T10,1,New school vs old school 2,V
Nerd,Run to the sun,60001905,T07,1,Nerd,In search of
Jamiroquai,Love foolsonly,60001906,T01: 04,1,"MOS annual 2003, the",V
Bis project,Girls like us,60001907,T13,1,MOS 2step the album,V
"Artful dodger, the",Moving too fast (& romina johnson),60001909,T02: 02,1,"Ayia napa, ultimate",V
"Aaron, robert",Sax in the ozone,60001910,T02: 03,1,"Faith 1, house classics past & present, terry farley & bill brewster",V
"Jones, digby",Pina colada,60001911,T12,1,Cafe del mar 8 (ocho),V
Layo & bushwacka,Love story,60001912,T01: 02,1,"MOS annual 2003, the",V
Il padrinos,That's how good your love is (& jocelyn brown),60001913,T01: 03,1,"MOS annual 2003, the",V
King unique,Look ahead,60001914,T01: 18,1,"Ayia napa, ultimate",V
India,To be in love (& maw presents),60001915,T01: 19,1,"Ayia napa, ultimate",V
Kings of tomorrow,Finally,60001916,T01: 11,1,"Faith 1, house classics past & present, terry farley & bill brewster",V
Fridge,Paradise,60001917,T02: 12,1,Street fm 1,V
Zzzz_00149,000_Drm 034,60014900,20081220,0,,ZZZ 0149 Drm 034 Superchilled 04
Fc kahuna,Hdyling,60014901,T02: 04,0,"Chillout classics, the ultimate album",V
Hong kong trash,Down the river,60014902,T02: 12,0,"MOS late night sessions 2, xpress2",V
"Moneypenny project, the",Marie lou,60014908,T14,0,"Fashion tv, spring summer 2001 collection",V
"Tobin, amon",Natureland,60014909,T12,0,"Tobin, amon",Supermodified
"Avalanches, the",Eion / Summer crane,60014910,"T14,15",0,"Avalanches, the",Since I left you
Kinobe,Slip into something more comfortable,60014911,T01: 02,0,"Chillout classics, the ultimate album",V
Golan project,Triptica,60014912,T01: 01 (& 02),0,"Dusk at byron bay, sharif galal",V
"Tobin, amon",Keeping it stree,60014913,T11,0,"Tobin, amon",Supermodified
Zzzz_00150,000_Drm 035,60015000,20081220,0,,ZZZ 0150 Drm 035 Superchilled 05
4 tet,Rivers become oceans (& rothko),60015001,T07,0,Fabulous shit,V
